nom,symbole,facteur,prix_achat,prix_vente,medicament_id,is_default
Gélule,Gél,1,,,ZEJULA,1
Comprimé,Cp,1,,,VENCLYXTO,1
Poche,Poche,1,,,YESCARTA,1
Poche,Poche,1,,,KYMRIAH,1
Flacon,Fl,1,,,ONCASPAR,1
Flacon,Fl,1,,,KIDROLASE,1
Flacon,Fl,1,,,SPECTRILA,1
Flacon,Fl,1,,,ERWINASE,1
Gélule,Gél,1,,,XAGRID,1
Flacon,Fl,1,,,TRISENOX,1
Comprimé,Cp,1,,,LYSODREN,1
Flacon,Fl,1,,,YONDELIS,1
Flacon,Fl,1,,,PROLEUKIN,1
Flacon,Fl,1,,,DÉPO-PRODASONE,1
Comprimé,Cp,1,,,MEGACE,1
Comprimé,Cp,1,,,NOLVADEX,1
Comprimé,Cp,1,,,FARESTON,1
Seringue,Ser,1,,,FASLODEX,1
