nom,symbole,facteur,prix_achat,prix_vente,medicament_id,is_default
Comprimé,Cp,1,,,ADVILMED 100 mg,1
Suspension buvable,Susp buv,1,,,ADVILMED 20 mg/ml,1
Comprimé,Cp,1,,,IPRAFÉINE,1
Comprimé,Cp,1,,,TOPREC,1
Sirop,Sir,1,,,TOPREC Sirop,1
Comprimé,Cp,1,,,PROFEMIGR,1
Pastille,Pastille,1,,,STREFEN,1
Gélule,Gél,1,,,PONSTYL,1
Comprimé,Cp,1,,,NALGESIC,1
Comprimé,Cp,1,,,VOLTARÈNE,1
Comprimé,Cp,1,,,VOLTARÈNE LP,1
Suppositoire,Suppo,1,,,VOLTARÈNE 100 mg Suppos,1
Comprimé,Cp,1,,,FLECTOR,1
Comprimé,Cp,1,,,CARTREX,1
Comprimé,Cp,1,,,CÉBUTID,1
Comprimé,Cp,1,,,ANTADYS,1
Comprimé,Cp,1,,,BRUFEN 400,1
Perfusion IV,Perf,1,,,IBUPROFENE Injectable,1
Ampoule,Amp,1,,,PEDEA,1
Comprimé,Cp,1,,,NABUCOX,1
Gélule,Gél,1,,,PROFÉNID,1
Comprimé,Cp,1,,,KETUM,1
Comprimé,Cp,1,,,BI-PROFÉNID LP,1
Comprimé/Gélule,Cp/Gél,1,,,PROFÉNID LP,1
Ampoule,Amp,1,,,PROFÉNID IM,1
Flacon,Fl,1,,,PROFÉNID Perfusion,1
Comprimé,Cp,1,,,KETESSE,1
Sachet,Sach,1,,,ENANTYUM,1
Ampoule,Amp,1,,,KETESSE Injectable,1
Comprimé,Cp,1,,,APRANAX,1
Comprimé,Cp,1,,,ANTALNOX,1
Comprimé,Cp,1,,,NAPROSYNE,1
Comprimé,Cp,1,,,LODINE,1
Comprimé,Cp,1,,,SURGAM,1
Gélule,Gél,1,,,NIFLURIL,1
Suppositoire,Suppo,1,,,NIFLURIL Adulte suppos,1
Suppositoire,Suppo,1,,,NIFLURIL Enfant suppos,1
Gélule,Gél,1,,,CELEBREX,1
Comprimé,Cp,1,,,ARCOXIA,1
Flacon,Fl,1,,,DYNASTAT,1
Comprimé,Cp,1,,,MOBIC,1
Ampoule,Amp,1,,,MOBIC Injectable,1
Gélule,Gél,1,,,FELDENE,1
Suppositoire,Suppo,1,,,FELDENE Suppos,1
Ampoule,Amp,1,,,FELDENE Injectable,1
Comprimé,Cp,1,,,BREXIN,1
Comprimé,Cp,1,,,CYCLADOL,1
Comprimé,Cp,1,,,TILCOTIL,1
Gélule,Gél,1,,,INDOCID,1
Suppositoire,Suppo,1,,,INDOCID Suppositoires,1
Gélule,Gél,1,,,CHRONO-INDOCID,1
Comprimé,Cp,1,,,ARTHROCINE,1
Gel,Gel,1,,,VOLTARÈNE EMUGEL,1
Gel,Gel,1,,,FLECTOR GEL,1
Emplâtre,Emplâtre,1,,,VOLTARENPLAST,1
Gel,Gel,1,,,KETUM Gel,1
Gel,Gel,1,,,ADVILMED Gel,1
Gel,Gel,1,,,ANTARÈNE Gel,1
Gel,Gel,1,,,IBUFETUM Gel,1
Gel,Gel,1,,,CLIPTOL,1
Emplâtre,Emplâtre,1,,,NUROFENPLAST,1
Gel,Gel,1,,,GELDENE,1
Gel,Gel,1,,,NIFLUGEL,1
Crème,Crème,1,,,ALGÉSAL SURACTIVÉ,1
Crème,Crème,1,,,BAUMEAROMA,1
Crème,Crème,1,,,CORTISAL,1
Gel,Gel,1,,,REPARIL,1
Flacon,Fl,1,,,XYLOCAÏNE,1
Flacon,Fl,1,,,XYLOCAÏNE-ADRÉNALINE,1
Ampoule,Amp,1,,,LIDOCAÏNE-ADRÉNALINE,1
Ampoule,Amp,1,,,CARBOCAÏNE,1
Ampoule,Amp,1,,,NAROPEINE,1
Cartouche,Cart,1,,,DELTAZINE,1
Cartouche,Cart,1,,,SEPTANEST-ADRÉNALINÉE,1
Flacon,Fl,1,,,XYLOCAINE à 5%,1
Flacon,Fl,1,,,XYLOCAÏNE à 5% EN NÉBULISEUR,1
